Symbol,Last,Change,Vol,Bid,Ask,Open Int.,Strike,Symbol,Last,Change,Vol,Bid,Ask,Open Int.
quote,0,0,0,1786,1806,,300,quote,0.05,-0.05,20,0.05,0.05,328
quote,"1,653",-15.5,5,1696,1698,19,400,,,,,,,
quote,"1,456",-146.4,1,1645,1648,20,450,,,,,,,
quote,0,0,0,1586,1606,,500,quote,0.15,0.05,48,0.05,0.05,89
quote,0,0,0,1487,1506,,600,quote,0,0,0,0,0.05,
quote,"1,166",-140.45,2,1395,1399,22,700,quote,0,0,0,0,0.05,
quote,"1,217",91.5,2,1346,1348,"1,853",750,quote,0.05,-0.15,5,0.05,0.05,"16,052"
quote,"1,129",-150,6,1321,1323,18,775,,,,,,,
quote,0,0,0,1286,1306,,800,quote,0.05,-0.05,40,0.05,0.05,"1,627"
,,,,,,,850,quote,0.6,-0.38,11,0.05,0.05,44
quote,0,0,0,1186,1206,,900,quote,0.9,-0.9,2,0.05,0.05,14
quote,"1,083",-63.1,1,1171,1173,26,925,,,,,,,
quote,967.75,49.3,74,1146,1148,56,950,quote,0.07,0.02,5,0.05,0.05,226
quote,"1,100",160.9,1,1120,1123,15,975,,,,,,,
quote,"1,095",0.3,"2,650",1095,1098,"47,182",1000,quote,0.05,0.02,750,0.05,0.05,"57,090"
quote,994.42,174.5,300,1046,1049,346,1050,quote,0.05,-0.55,50,0.05,0.05,64
quote,953.5,-63.4,4,1021,1024,17,1075,,,,,,,
quote,0,0,0,986.1,1007,,1100,quote,0.05,-0.05,55,0.05,0.05,299
quote,0,0,0,975.8,978.9,,1120,quote,0.05,-0.3,100,0.05,0.1,26
,,,,,,,1125,quote,0.05,-0.15,2,0.05,0.1,"1,169"
quote,0,0,0,955.8,958.5,,1140,,,,,,,
quote,0,0,0,936.1,956,,1150,quote,0.05,-0.15,3,0.05,0.05,"10,542"
,,,,,,,1160,quote,0.1,0.05,1,0.05,0.1,41
,,,,,,,1175,quote,0.1,0.1,11,0.05,0.1,"1,072"
,,,,,,,1200,quote,0.05,-0.05,72,0.05,0.05,"4,533"
quote,0,0,0,875.6,878.5,,1220,quote,0.05,-0.1,"1,107",0.05,0.1,"1,107"
,,,,,,,1225,quote,0.05,-0.05,5,0.05,0.1,"2,672"
,,,,,,,1230,quote,0.05,-0.05,"1,083",0.05,0.1,"1,170"
,,,,,,,1240,quote,0.05,-0.05,9,0.05,0.1,"1,425"
quote,0,0,0,836.4,855.9,,1250,quote,0.05,-0.05,50,0.05,0.05,"6,870"
quote,0,0,0,826.1,829.2,,1270,,,,,,,
quote,0,0,0,811.2,830.8,,1275,,,,,,,
quote,0,0,0,816.1,819.2,,1280,,,,,,,
quote,0,0,0,806.1,809.2,,1290,quote,0.05,0.05,77,0.05,0.1,"1,446"
quote,0,0,0,788,807.1,,1300,quote,0.05,-0.05,50,0.05,0.05,"11,074"
quote,0,0,0,786.1,789.2,,1310,quote,0.05,0.1,10,0.05,0.05,"1,282"
quote,0,0,0,776.1,779.2,,1320,,,,,,,
quote,0,0,0,761.8,782.1,,1325,quote,0.05,-0.05,2,0.05,0.05,"1,180"
,,,,,,,1335,quote,0.05,-0.05,729,0.05,0.05,"1,061"
,,,,,,,1340,quote,0.2,0.15,1,0.05,0.05,"1,882"
quote,0,0,0,736.2,756.1,,1350,quote,0.05,-0.05,200,0.05,0.05,520
quote,0,0,0,730.9,734.3,,1365,quote,0.05,-0.1,823,0.05,0.1,"1,474"
quote,674.95,0,1,725.9,729.3,1,1370,quote,0.15,0.05,753,0.05,0.05,"2,524"
quote,0,0,0,711.8,731.8,,1375,quote,0.1,-0.05,200,0.05,0.1,"3,970"
quote,665.1,0,1,715.9,719.3,1,1380,quote,0.1,-0.05,200,0.05,0.05,927
quote,0,0,0,710.6,713.8,,1385,,,,,,,
quote,0,0,0,700.9,704.1,,1395,,,,,,,
quote,694.6,0,1,686.3,705.6,,1400,quote,0.1,-0.02,5,0.05,0.1,"30,372"
quote,0,0,0,690.4,693.5,,1405,quote,0.05,-0.05,50,0.05,0.1,835
quote,0,0,0,680.6,683.6,,1415,,,,,,,
,,,,,,,1420,quote,0.05,-0.05,10,0.05,0.1,"1,321"
quote,0,0,0,661.3,681.1,,1425,,,,,,,
quote,0,0,0,665.9,669.1,,1430,quote,0.05,-0.15,13,0.05,0.05,"1,967"
quote,0,0,0,660.4,663.6,,1435,,,,,,,
,,,,,,,1440,quote,0.05,-0.05,209,0.05,0.05,"3,917"
,,,,,,,1450,quote,0.18,0.03,6,0.05,0.15,"13,250"
quote,0,0,0,635.7,638.7,,1460,,,,,,,
quote,0,0,0,625.7,628.7,,1470,,,,,,,
quote,0,0,0,611.4,631.2,,1475,quote,0.2,0.05,100,0.1,0.2,758
,,,,,,,1480,quote,0.05,-0.1,12,0.05,0.05,"1,634"
quote,0,0,0,610.7,613.7,,1485,quote,0.2,0,708,0.05,0.05,997
,,,,,,,1490,quote,0.05,-0.15,1,0.05,0.25,"1,840"
quote,0,0,0,600.7,603.7,,1495,,,,,,,
quote,584.7,56.1,3,586.7,606,3,1500,quote,0.15,-0.06,2,0.1,0.15,"13,183"
quote,0,0,0,590.7,593.7,,1505,,,,,,,
,,,,,,,1510,quote,0.05,-0.05,1,0.05,0.05,"1,185"
,,,,,,,1515,quote,0.15,-0.05,693,0.05,0.1,"1,396"
quote,0,0,0,575.7,578.7,,1520,quote,0.05,-0.1,10,0.05,0.2,757
quote,0,0,0,563.5,583.6,,1525,quote,0.1,-0.05,1,0.05,0.1,"3,524"
quote,0,0,0,556.7,576.3,,1530,quote,0.6,-0.25,40,0.1,0.2,120
quote,0,0,0,546.7,566.3,,1540,quote,0.1,-0.1,3,0.05,0.15,274
quote,0,0,0,550.7,553.7,,1545,quote,0.25,-0.5,638,0.05,0.25,795
quote,0,0,0,536.5,556.1,,1550,,,,,,,
quote,0,0,0,540.7,543.7,,1555,,,,,,,
quote,0,0,0,526.6,546.1,,1560,quote,0.2,-0.1,500,0.1,0.2,"5,762"
,,,,,,,1570,quote,0.1,-0.1,100,0.1,0.25,"1,046"
,,,,,,,1575,quote,0.15,-0.05,100,0.1,0.15,"3,225"
