Symbol,Last,Change,Vol,Bid,Ask,Open Int.,Strike,Symbol,Last,Change,Vol,Bid,Ask,Open Int.
quote,"1,792",49.46,2,1783.00 ,1787.00 ,17,300 ,quote,0.05,-0.05,20,0.05 ,0.05 ,143
quote,0,0,0,1674.00 ,1695.00 ,,400 ,quote,0.05,-0.2,5,0.05 ,0.05 ,54
quote,"1,581",42.8,1,1584.00 ,1587.00 ,"1,056",500 ,quote,0.2,-0.4,20,0.05 ,0.05 ,53
quote,0,0,0,1534.00 ,1537.00 ,,550 ,,,,,,,
quote,0,0,0,1474.00 ,1495.00 ,,600 ,quote,0.1,-0.25,10,0.05 ,0.30 ,536
quote,0,0,0,1434.00 ,1437.00 ,,650 ,,,,,,,
,,,,,,,700 ,quote,0.2,0.05,20.00 ,0.05 ,0.10 ,447 
quote,0,0,0,1334.00 ,1338.00 ,,750 ,quote,2.4,0.3,1,0.05 ,0.15 ,299
quote,0,0,0,1275.00 ,1296.00 ,,800 ,quote,0.8,-1.7,12,0.05 ,0.15 ,88
,,,,,,,850 ,quote,0.6,0.15,100.00 ,0.10 ,0.20 ,111 
quote,0,0,0,1175.00 ,1197.00 ,,900 ,,,,,,,
quote,"1,152",47.8,92,1160.00 ,1163.00 ,76,925 ,quote,0.5,0.1,7,0.05 ,0.40 ,122
,,,,,,,950 ,quote,0.55,0.05,100.00 ,0.05 ,0.40 ,185 
quote,"1,019",-51.1,4,1110.00 ,1113.00 ,23,975 ,,,,,,,
quote,0,0,0,1076.00 ,1097.00 ,,1000 ,quote,0.5,0.1,20,0.25 ,0.40 ,"11,893"
quote,"1,006",58.1,2,1060.00 ,1063.00 ,9,1025 ,,,,,,,
quote,0,0,0,1026.00 ,1047.00 ,,1050 ,quote,0.55,-0.4,100,0.35 ,0.50 ,124
quote,921.7,-49,1,1010.00 ,1013.00 ,5,1075 ,,,,,,,
quote,0,0,0,976.00 ,997.00 ,,1100 ,quote,0.55,-0.15,5,0.45 ,0.60 ,546
quote,956.65,-3.55,1,960.60 ,963.40 ,1,1125 ,,,,,,,
,,,,,,,1150 ,quote,0.9,-0.1,10.00 ,0.25 ,0.60 ,2246 
quote,870.8,5.2,1,910.80 ,913.60 ,2,1175 ,quote,0.55,-0.1,1,0.30 ,0.75 ,637
,,,,,,,1200 ,quote,0.75,-0.2,6.00 ,0.70 ,0.85 ,880 
,,,,,,,1225 ,quote,0.8,-0.25,33.00 ,0.40 ,0.90 ,177 
quote,832,-1.6,91,836.30 ,839.70 ,161,1250 ,quote,0.9,-0.4,36,0.50 ,0.95 ,"5,343"
quote,0,0,0,802.20 ,823.10 ,,1275 ,quote,1.25,-0.1,1,1.05 ,1.15 ,145
quote,0,0,0,777.40 ,798.30 ,,1300 ,quote,1.2,-0.25,100,1.20 ,1.35 ,"6,370"
quote,0,0,0,766.90 ,770.10 ,,1320 ,,,,,,,
quote,0,0,0,752.70 ,774.00 ,,1325 ,,,,,,,
